,index,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
105,109,106,106,Aug 5,@,TOR,"L,0-3",33,31,0,3,0,0,0,0,2,0,7,0,0,0,1,0,0,0,0.23,0.296,0.398,0.695,6,10,R,R.Stripling(71)
106,110,107,107,Aug 6,,DET,"W,6-1",38,36,6,15,4,0,0,6,1,0,5,0,0,1,0,1,1,0,0.232,0.298,0.4,0.697,8,10,R,M.Manning(21)
107,111,108,108,Aug 7,,DET,"L,1-2",38,37,1,10,0,0,1,1,1,0,8,0,0,0,0,1,0,0,0.232,0.298,0.399,0.697,10,9,L,T.Alexander(64)
108,112,109,109,Aug 8,,DET,"W,7-5",38,35,7,11,3,0,2,7,2,0,6,0,0,1,1,0,2,1,0.233,0.298,0.401,0.699,7,9,R,W.Peralta(44)
109,113,110,110,Aug 9,,CIN,"W,9-3",41,35,9,11,2,2,3,9,5,0,9,1,0,0,0,0,0,0,0.234,0.299,0.404,0.703,8,9,R,L.Castillo(13)
110,114,111,111,Aug 10,,OAK,"L,3-4",40,33,3,6,1,0,0,2,6,0,7,0,1,0,0,1,1,0,0.234,0.299,0.402,0.702,8,11,L,S.Manaea(32)
111,115,112,112,Aug 11,,OAK,"L,3-6",33,28,3,4,1,0,0,2,5,0,10,0,0,0,0,2,2,1,0.233,0.299,0.401,0.7,3,10,R,F.Montas(65)
112,116,113,113,Aug 12,,OAK,"L,0-17",31,28,0,3,1,0,0,0,3,0,6,0,0,0,0,2,0,0,0.232,0.298,0.399,0.697,4,9,R,C.Bassitt(70)
113,117,114,114,Aug 13,@,DET,"W,7-4",41,35,7,9,1,1,3,7,4,0,6,0,0,2,1,0,1,0,0.232,0.298,0.401,0.699,7,10,L,T.Alexander(43)
114,118,115,115,Aug 14,@,DET,"L,4-6",40,34,4,8,3,1,0,4,6,0,12,0,0,0,0,1,3,0,0.232,0.299,0.4,0.699,9,9,R,W.Peralta(42)
115,119,116,116,Aug 15,@,DET,"W,11-0",45,41,11,14,3,1,1,9,3,0,10,1,0,0,0,2,0,0,0.233,0.3,0.402,0.702,7,10,R,D.Hutchison(27)
116,120,117,117,Aug 16,@,MIN,"L,4-5",41,37,4,8,2,0,1,4,3,0,8,1,0,0,1,2,1,0,0.233,0.3,0.401,0.701,8,9,R,G.Jax(47)
117,121,118,118,Aug 17,@,MIN,"W,3-1",34,33,3,7,2,0,1,3,0,0,6,0,0,1,0,0,0,0,0.233,0.299,0.401,0.7,4,9,R,B.Ober(55)
