,index,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
35,36,36,36,May 12,,OAK,"W,9-3",9.0,3,3,3,0,1,14,1,1,3.32,32,120,78,0.0,0.0,0,0,30,1,0,0,0,0,0,0,3,Hunter Wendelstedt,"P.Martinez (5-70-W), R.Garces (2), D.Lowe (1)"
36,37,37,37,May 13,,OAK,"W,5-4",11.0,7,4,4,0,11,7,1,1,3.32,51,204,113,4.0,2.0,1,1,38,1,0,3,0,1,1,1,6,Dan Morrison,"H.Nomo (4-40), T.Wakefield (1), R.Garces (0), P.Schourek (1), R.Beck (1), D.Lowe (0-W)"
37,38,38,38,May 15,@,MIN,"W,5-2",9.0,7,2,1,1,4,4,0,1,3.26,39,148,93,1.0,0.0,4,1,34,1,0,0,0,0,2,1,4,Mark Hirschbeck,"F.Castillo (5-65-W), R.Garces (1-H), R.Beck (1-H), D.Lowe (1)"
38,39,39,39,May 16,@,MIN,"L,3-4",8.0,5,4,4,0,3,8,1,0,3.29,31,109,68,0.0,0.0,0,1,28,1,1,0,0,0,0,0,3,Wally Bell,"T.Wakefield (2-57), H.Pichardo (99), P.Schourek (2-L)"
39,40,40,40,May 17,@,MIN,"L,3-5",8.0,9,5,5,0,5,5,2,1,3.34,38,154,87,2.0,0.0,2,0,32,1,0,0,0,0,0,0,4,Marty Foster,"D.Cone (99-45), R.Arrojo (5-L), R.Garces (1), R.Beck (1)"
40,41,41,41,May 18,@,KCR,"W,6-3",9.0,9,3,2,1,1,13,0,0,3.31,37,134,98,3.0,3.0,0,0,36,1,0,0,0,0,1,1,3,Ed Rapuano,"P.Martinez (5-83-W), H.Pichardo (1), D.Lowe (2)"
41,42,42,42,May 19,@,KCR,"L,2-6",8.0,13,6,6,0,1,3,1,0,3.38,37,129,82,0.0,0.0,1,1,34,2,1,0,0,2,0,0,3,Paul Emmel,"H.Nomo (5-36-L), R.Arrojo (1), P.Schourek (2)"
42,43,43,43,May 20,@,KCR,"W,10-3",9.0,8,3,1,2,1,4,0,0,3.32,38,146,103,0.0,0.0,0,0,36,3,1,0,0,1,2,0,3,Tim McClelland,"F.Castillo (4-61-W), R.Garces (2), H.Pichardo (1)"
43,44,44,44,May 23,@,NYY,"L,3-7",8.0,11,7,6,1,1,8,3,2,3.39,39,148,98,0.0,0.0,1,0,35,1,0,0,0,1,1,0,3,Jerry Layne,"D.Cone (5-48-L), T.Wakefield (6), R.Beck (5)"
44,45,45,45,May 24,@,NYY,"L,1-2",8.0,6,2,2,0,3,12,1,0,3.37,32,120,80,,,1,0,29,0,0,0,0,0,0,0,1,Paul Schrieber,P.Martinez (5-71-L)
45,46,46,46,May 25,,TOR,"W,4-0",9.0,1,0,0,0,0,14,0,0,3.3,28,117,77,,,0,0,27,1,0,0,1,0,0,0,1,Tim Timmons,H.Nomo (5-99-W)
46,47,47,47,May 26,,TOR,"L,0-5",9.0,9,5,5,0,1,11,1,0,3.33,38,146,96,2.0,2.0,1,0,37,2,0,1,0,0,1,0,4,Jeff Kellogg,"F.Castillo (5-59-L), R.Garces (5), P.Schourek (6), D.Lowe (7)"
47,48,48,48,May 27,,TOR,"W,4-2",9.0,6,2,2,0,1,8,1,1,3.3,33,124,79,0.0,0.0,1,1,31,0,0,0,0,0,0,1,3,Mike Reilly,"T.Wakefield (3-65-W), R.Beck (3-H), D.Lowe (0-Sv)"
48,49,49,49,May 28,,NYY,"L,3-4",9.0,11,4,4,0,4,9,1,2,3.32,42,173,104,2.0,1.0,3,1,35,2,0,0,1,0,0,1,5,Steve Rippley,"D.Cone (4-33), R.Arrojo (8), P.Schourek (1-L), R.Garces (1), D.Lowe (0)"
49,50,50,50,May 30,,NYY,"W,3-0",9.0,5,0,0,0,1,15,0,0,3.25,33,142,95,0.0,0.0,0,0,32,0,0,0,0,0,1,1,2,Mike Winters,"P.Martinez (5-86-W), D.Lowe (1-Sv)"
50,51,51,51,May 31,@,TOR,"W,11-5",9.0,8,5,5,0,3,9,2,0,3.29,38,135,81,3.0,2.0,0,0,35,0,1,0,0,0,0,0,4,Andy Fletcher,"H.Nomo (5-54), R.Garces (2-H), R.Beck (3-BW), R.Arrojo (2)"
51,53,52,52,Jun 1,@,TOR,"W,6-4",11.0,10,4,4,0,4,10,1,1,3.29,47,186,107,1.0,1.0,1,0,42,1,0,1,0,0,0,1,4,Fieldin Culbreth,"F.Castillo (5-48), P.Schourek (3-BSv), R.Arrojo (0), D.Lowe (1-W)"
52,54,53,53,Jun 2,@,TOR,"W,2-1",9.0,5,1,1,0,4,12,0,1,3.24,34,144,89,3.0,0.0,1,2,29,2,0,0,0,0,0,0,4,Dale Scott,"T.Wakefield (5-65), R.Garces (1), P.Schourek (0-W), R.Beck (1-Sv)"
53,55,54,54,Jun 3,@,TOR,"W,5-4",9.0,13,4,4,0,2,10,2,1,3.26,43,158,96,1.0,0.0,4,0,40,0,0,1,0,0,0,0,6,Larry Young,"D.Cone (5-41), H.Pichardo (13-W), P.Schourek (0-H), R.Garces (0-H), R.Beck (0-H), D.Lowe (1-Sv)"
54,56,55,55,Jun 4,@,NYY,"L,6-7",8.1,10,7,7,0,5,10,1,0,3.33,39,148,88,3.0,1.0,0,1,32,0,2,1,2,0,0,0,6,Dan Morrison,"P.Martinez (4-57), R.Arrojo (2-BSv), P.Schourek (0), R.Garces (0), H.Pichardo (0), R.Beck (0-L)"
55,57,56,56,Jun 5,,DET,"W,4-3",18.0,15,3,3,0,8,15,1,1,3.27,76,275,175,3.0,0.0,4,1,65,3,0,2,2,0,1,0,7,Bill Welke,"H.Nomo (4-55), R.Arrojo (0), D.Lowe (1), H.Pichardo (0), R.Beck (0), R.Garces (0), T.Wakefield (2-W)"
56,58,57,57,Jun 6,,DET,"L,3-7",9.0,10,7,3,4,3,4,0,0,3.26,42,156,104,0.0,0.0,3,0,39,3,0,0,0,0,2,0,2,John Hirschbeck,"F.Castillo (4-46-L), P.Crawford (25)"
57,59,58,58,Jun 7,,DET,"W,8-1",9.0,5,1,1,0,4,5,0,1,3.22,34,117,69,0.0,0.0,0,1,29,0,0,0,0,0,0,1,2,Chuck Meriwether,"T.Wakefield (1-61-W), R.Arrojo (1-Sv)"
58,60,59,59,Jun 8,,PHI,"W,3-2",9.0,9,2,2,0,1,9,1,0,3.2,37,140,89,0.0,0.0,2,0,34,1,0,0,1,1,1,1,4,Dan Iassogna,"D.Cone (4-63-W), R.Garces (2-H), R.Beck (2-H), D.Lowe (2-Sv)"
59,61,60,60,Jun 9,,PHI,"L,2-5",9.0,6,5,5,0,2,9,1,1,3.23,35,130,87,3.0,3.0,0,0,31,1,0,1,0,1,0,0,3,Marvin Hudson,"P.Martinez (4-55-L), R.Arrojo (1), H.Pichardo (3)"
60,62,61,61,Jun 10,,PHI,"W,5-4",9.0,8,4,4,0,3,9,1,0,3.24,39,140,92,1.0,1.0,5,0,36,3,0,0,0,0,1,0,5,Tim Welke,"H.Nomo (4-54-W), R.Garces (1-H), P.Schourek (5), R.Beck (1-H), D.Lowe (1-Sv)"
61,63,62,62,Jun 12,,FLA,"W,4-2",9.0,8,2,2,0,2,6,1,1,3.22,38,136,91,2.0,1.0,0,0,35,0,0,0,0,0,0,0,6,Paul Emmel,"F.Castillo (5-58-W), R.Arrojo (2), P.Schourek (1), R.Garces (1-H), R.Beck (1-H), D.Lowe (1-Sv)"
62,64,63,63,Jun 13,,FLA,"L,2-4",9.0,10,4,4,0,4,10,1,1,3.24,40,139,87,0.0,0.0,0,1,34,3,0,0,0,1,0,1,3,Lance Barksdale,"T.Wakefield (5-45-L), H.Pichardo (3), P.Schourek (0)"
63,65,64,64,Jun 14,,FLA,"W,6-4",9.0,5,4,3,1,1,2,2,1,3.23,35,125,75,0.0,0.0,1,0,33,0,0,0,0,0,1,0,3,Tim McClelland,"D.Cone (5-58-W), R.Garces (1-H), R.Beck (1-Sv)"
64,66,65,65,Jun 15,@,ATL,"W,9-5",10.0,8,5,4,1,6,4,0,1,3.24,46,173,110,2.0,2.0,2,0,36,1,0,0,3,0,1,0,5,Charlie Reliford,"R.Arrojo (2-48), S.Kim (99-H), H.Pichardo (1-BSv), P.Schourek (1), R.Beck (0-W)"
65,67,66,66,Jun 16,@,ATL,"L,0-8",8.0,11,8,6,2,5,4,0,0,3.29,41,141,84,2.0,2.0,5,0,35,2,1,1,0,1,2,1,2,Kerwin Danley,"H.Nomo (5-37-L), H.Pichardo (0)"
66,68,67,67,Jun 17,@,ATL,"W,4-3",9.0,9,3,3,0,1,5,0,2,3.28,36,131,80,3.0,2.0,2,1,33,1,0,0,0,0,0,1,4,Greg Gibson,"F.Castillo (4-54-W), R.Garces (2-H), R.Arrojo (1-H), D.Lowe (4-Sv)"
67,69,68,68,Jun 19,@,TBD,"W,5-4",9.0,3,4,0,4,4,8,0,0,3.23,35,121,84,2.0,2.0,0,0,31,1,0,0,0,0,1,0,2,Rick Reed,"T.Wakefield (5-79-W), D.Lowe (1-Sv)"
68,70,69,69,Jun 20,@,TBD,"W,8-2",9.0,7,2,2,0,2,6,1,0,3.22,35,142,89,1.0,0.0,1,1,33,0,0,0,0,0,0,0,4,Mark Wegner,"D.Cone (5-50), R.Garces (2-W), R.Beck (4), S.Kim (4)"
69,71,70,70,Jun 21,@,TBD,"W,7-4",9.0,10,4,4,0,3,8,1,0,3.23,39,161,104,0.0,0.0,1,0,35,1,0,0,1,0,0,1,5,Laz Diaz,"P.Martinez (11-60), P.Schourek (5), R.Arrojo (3), R.Beck (0-W), D.Lowe (1-Sv)"
70,72,71,71,Jun 22,,TOR,"L,3-4",9.0,7,4,4,0,2,13,2,0,3.24,34,119,82,0.0,0.0,1,0,30,1,0,0,2,0,0,2,2,Doug Eddings,"H.Nomo (5-68), P.Schourek (0-L)"
71,73,72,72,Jun 23,,TOR,"L,6-9",9.0,13,9,9,0,3,3,0,1,3.32,42,140,88,2.0,2.0,0,1,37,3,1,1,1,0,0,1,4,Eric Cooper,"F.Castillo (5-14-L), R.Arrojo (1), H.Pichardo (6), P.Schourek (0)"
72,74,73,73,Jun 24,,TOR,"L,2-5",9.0,5,5,5,0,3,8,1,0,3.34,35,144,92,1.0,1.0,4,0,31,1,0,0,1,0,0,0,2,Brian Gorman,"T.Wakefield (4-65-L), R.Beck (2)"
73,75,74,74,Jun 25,,TBD,"W,12-8",9.0,9,8,8,0,7,4,4,1,3.4,42,160,89,1.0,0.0,0,0,32,1,0,0,1,1,0,1,5,Jeff Kellogg,"D.Cone (4-33-W), R.Garces (4), P.Schourek (1-H), H.Pichardo (1-H), D.Lowe (3-Sv)"
74,76,75,75,Jun 26,,TBD,"W,7-6",9.0,8,6,6,0,1,12,2,1,3.44,37,142,92,3.0,3.0,0,0,35,2,0,0,0,0,0,0,4,Mike Reilly,"P.Martinez (4-43), R.Arrojo (2), R.Beck (1-W), D.Lowe (0-Sv)"
75,77,76,76,Jun 27,,TBD,"L,7-9",9.0,15,9,9,0,2,11,2,0,3.51,43,152,91,3.0,1.0,0,0,41,3,0,1,0,0,0,1,5,Tim Timmons,"H.Nomo (4-37), H.Pichardo (1), P.Schourek (1-L), R.Beck (0), S.Kim (6)"
76,78,77,77,Jun 28,,TBD,"L,3-4",9.0,9,4,4,0,4,7,1,0,3.51,38,150,93,1.0,0.0,0,0,33,3,0,0,1,0,0,1,6,CB Bucknor,"F.Castillo (4-43), B.Florie (99), B.Pulsipher (99), H.Pichardo (0), R.Beck (0), D.Lowe (1-L)"
77,79,78,78,Jun 29,@,TOR,"L,4-8",8.0,10,8,7,1,5,10,2,1,3.56,41,166,95,1.0,0.0,4,0,34,1,2,2,1,0,1,0,4,Rich Rieker,"T.Wakefield (4-47), B.Pulsipher (0), B.Florie (0-L), S.Kim (1)"
78,80,79,79,Jun 30,@,TOR,"W,7-5",9.0,14,5,4,1,1,3,1,0,3.57,41,135,90,0.0,0.0,1,0,39,3,0,1,0,1,0,1,4,Mark Carlson,"D.Cone (4-53-W), H.Pichardo (1), R.Beck (1), D.Lowe (1)"
79,82,80,80,Jul 1,@,TOR,"W,4-0",9.0,2,0,0,0,2,4,0,0,3.52,30,125,78,0.0,0.0,2,0,28,0,0,0,0,0,0,1,3,Matt Hollowell,"R.Arrojo (4-76-W), R.Beck (0-H), D.Lowe (0)"
80,83,81,81,Jul 2,@,TOR,"W,16-4",9.0,10,4,4,0,4,7,0,0,3.53,43,175,104,1.0,0.0,1,0,38,2,1,0,0,1,1,0,3,Gerry Davis,"H.Nomo (4-61-W), B.Florie (2), S.Kim (2)"
81,84,82,82,Jul 3,@,CLE,"L,1-9",8.0,14,9,5,4,4,5,1,1,3.55,42,164,96,1.0,1.0,3,0,36,3,0,1,1,0,1,1,3,Ed Rapuano,"T.Ohka (53-24-L), H.Pichardo (2), P.Schourek (5)"
82,85,83,83,Jul 4,@,CLE,"W,13-4",9.0,7,4,4,0,3,8,0,0,3.56,37,143,95,1.0,0.0,0,0,32,0,0,0,0,2,0,0,3,Lance Barksdale,"T.Wakefield (4-45-W), B.Pulsipher (4), R.Beck (2)"
83,86,84,84,Jul 5,@,CLE,"W,5-4",9.0,7,4,3,1,7,9,1,0,3.55,41,164,96,0.0,0.0,0,0,34,2,0,1,0,0,2,2,3,Tim McClelland,"D.Cone (4-45), H.Pichardo (1), D.Lowe (3-W)"
84,87,85,85,Jul 6,,ATL,"L,5-6",10.0,12,6,5,1,9,9,1,1,3.56,50,183,107,6.0,2.0,2,1,40,1,0,3,0,0,1,1,6,Jim McKean,"R.Arrojo (4-55), B.Pulsipher (1-H), R.Beck (1-BSv), D.Lowe (0), S.Kim (3-L), H.Pichardo (0)"
85,88,86,86,Jul 7,,ATL,"W,3-1",9.0,9,1,1,0,3,7,0,0,3.53,36,124,76,3.0,0.0,2,1,33,1,1,0,0,0,0,2,4,Jim Joyce,"H.Nomo (4-60-W), T.Wakefield (2-H), R.Beck (0-H), D.Lowe (0-Sv)"
